,name,code,province,city
0,北京市,110000,北京市,北京市
1,市辖区,110100,北京市,市辖区
2,东城区,110101,北京市,市辖区
3,西城区,110102,北京市,市辖区
4,朝阳区,110105,北京市,市辖区
5,丰台区,110106,北京市,市辖区
6,石景山区,110107,北京市,市辖区
7,海淀区,110108,北京市,市辖区
8,门头沟区,110109,北京市,市辖区
9,房山区,110111,北京市,市辖区
10,通州区,110112,北京市,市辖区
11,顺义区,110113,北京市,市辖区
12,昌平区,110114,北京市,市辖区
13,大兴区,110115,北京市,市辖区
14,怀柔区,110116,北京市,市辖区
15,平谷区,110117,北京市,市辖区
16,县,110200,北京市,县
17,密云县,110228,北京市,县
18,延庆县,110229,北京市,县
19,天津市,120000,天津市,天津市
20,市辖区,120100,天津市,市辖区
21,和平区,120101,天津市,市辖区
22,河东区,120102,天津市,市辖区
23,河西区,120103,天津市,市辖区
24,南开区,120104,天津市,市辖区
25,河北区,120105,天津市,市辖区
26,红桥区,120106,天津市,市辖区
27,东丽区,120110,天津市,市辖区
28,西青区,120111,天津市,市辖区
29,津南区,120112,天津市,市辖区
30,北辰区,120113,天津市,市辖区
31,武清区,120114,天津市,市辖区
32,宝坻区,120115,天津市,市辖区
33,滨海新区,120116,天津市,市辖区
34,县,120200,天津市,县
35,宁河县,120221,天津市,县
36,静海县,120223,天津市,县
37,蓟县,120225,天津市,县
38,河北省,130000,河北省,河北省
39,石家庄市,130100,河北省,石家庄市
40,市辖区,130101,河北省,石家庄市
41,长安区,130102,河北省,石家庄市
42,桥东区,130103,河北省,石家庄市
43,桥西区,130104,河北省,石家庄市
44,新华区,130105,河北省,石家庄市
45,井陉矿区,130107,河北省,石家庄市
46,裕华区,130108,河北省,石家庄市
47,井陉县,130121,河北省,石家庄市
48,正定县,130123,河北省,石家庄市
49,栾城县,130124,河北省,石家庄市
50,行唐县,130125,河北省,石家庄市
51,灵寿县,130126,河北省,石家庄市
52,高邑县,130127,河北省,石家庄市
53,深泽县,130128,河北省,石家庄市
54,赞皇县,130129,河北省,石家庄市
55,无极县,130130,河北省,石家庄市
56,平山县,130131,河北省,石家庄市
57,元氏县,130132,河北省,石家庄市
58,赵县,130133,河北省,石家庄市
59,辛集市,130181,河北省,石家庄市
60,藁城市,130182,河北省,石家庄市
61,晋州市,130183,河北省,石家庄市
62,新乐市,130184,河北省,石家庄市
63,鹿泉市,130185,河北省,石家庄市
64,唐山市,130200,河北省,唐山市
65,市辖区,130201,河北省,唐山市
66,路南区,130202,河北省,唐山市
67,路北区,130203,河北省,唐山市
68,古冶区,130204,河北省,唐山市
69,开平区,130205,河北省,唐山市
70,丰南区,130207,河北省,唐山市
71,丰润区,130208,河北省,唐山市
72,滦县,130223,河北省,唐山市
73,滦南县,130224,河北省,唐山市
74,乐亭县,130225,河北省,唐山市
75,迁西县,130227,河北省,唐山市
76,玉田县,130229,河北省,唐山市
77,唐海县,130230,河北省,唐山市
78,遵化市,130281,河北省,唐山市
79,迁安市,130283,河北省,唐山市
80,秦皇岛市,130300,河北省,秦皇岛市
81,市辖区,130301,河北省,秦皇岛市
82,海港区,130302,河北省,秦皇岛市
83,山海关区,130303,河北省,秦皇岛市
84,北戴河区,130304,河北省,秦皇岛市
85,青龙满族自治县,130321,河北省,秦皇岛市
86,昌黎县,130322,河北省,秦皇岛市
87,抚宁县,130323,河北省,秦皇岛市
88,卢龙县,130324,河北省,秦皇岛市
89,邯郸市,130400,河北省,邯郸市
90,市辖区,130401,河北省,邯郸市
91,邯山区,130402,河北省,邯郸市
92,丛台区,130403,河北省,邯郸市
93,复兴区,130404,河北省,邯郸市
94,峰峰矿区,130406,河北省,邯郸市
95,邯郸县,130421,河北省,邯郸市
96,临漳县,130423,河北省,邯郸市
97,成安县,130424,河北省,邯郸市
98,大名县,130425,河北省,邯郸市
99,涉县,130426,河北省,邯郸市
100,磁县,130427,河北省,邯郸市
101,肥乡县,130428,河北省,邯郸市
102,永年县,130429,河北省,邯郸市
103,邱县,130430,河北省,邯郸市
104,鸡泽县,130431,河北省,邯郸市
105,广平县,130432,河北省,邯郸市
106,馆陶县,130433,河北省,邯郸市
107,魏县,130434,河北省,邯郸市
108,曲周县,130435,河北省,邯郸市
109,武安市,130481,河北省,邯郸市
110,邢台市,130500,河北省,邢台市
111,市辖区,130501,河北省,邢台市
112,桥东区,130502,河北省,邢台市
113,桥西区,130503,河北省,邢台市
114,邢台县,130521,河北省,邢台市
115,临城县,130522,河北省,邢台市
116,内丘县,130523,河北省,邢台市
117,柏乡县,130524,河北省,邢台市
118,隆尧县,130525,河北省,邢台市
119,任县,130526,河北省,邢台市
120,南和县,130527,河北省,邢台市
121,宁晋县,130528,河北省,邢台市
122,巨鹿县,130529,河北省,邢台市
123,新河县,130530,河北省,邢台市
124,广宗县,130531,河北省,邢台市
125,平乡县,130532,河北省,邢台市
126,威县,130533,河北省,邢台市
127,清河县,130534,河北省,邢台市
128,临西县,130535,河北省,邢台市
129,南宫市,130581,河北省,邢台市
130,沙河市,130582,河北省,邢台市
131,保定市,130600,河北省,保定市
132,市辖区,130601,河北省,保定市
133,新市区,130602,河北省,保定市
134,北市区,130603,河北省,保定市
135,南市区,130604,河北省,保定市
136,满城县,130621,河北省,保定市
137,清苑县,130622,河北省,保定市
138,涞水县,130623,河北省,保定市
139,阜平县,130624,河北省,保定市
140,徐水县,130625,河北省,保定市
141,定兴县,130626,河北省,保定市
142,唐县,130627,河北省,保定市
143,高阳县,130628,河北省,保定市
144,容城县,130629,河北省,保定市
145,涞源县,130630,河北省,保定市
146,望都县,130631,河北省,保定市
147,安新县,130632,河北省,保定市
148,易县,130633,河北省,保定市
149,曲阳县,130634,河北省,保定市
150,蠡县,130635,河北省,保定市
151,顺平县,130636,河北省,保定市
152,博野县,130637,河北省,保定市
153,雄县,130638,河北省,保定市
154,涿州市,130681,河北省,保定市
155,定州市,130682,河北省,保定市
156,安国市,130683,河北省,保定市
157,高碑店市,130684,河北省,保定市
158,张家口市,130700,河北省,张家口市
159,市辖区,130701,河北省,张家口市
160,桥东区,130702,河北省,张家口市
161,桥西区,130703,河北省,张家口市
162,宣化区,130705,河北省,张家口市
163,下花园区,130706,河北省,张家口市
164,宣化县,130721,河北省,张家口市
165,张北县,130722,河北省,张家口市
166,康保县,130723,河北省,张家口市
167,沽源县,130724,河北省,张家口市
168,尚义县,130725,河北省,张家口市
169,蔚县,130726,河北省,张家口市
170,阳原县,130727,河北省,张家口市
171,怀安县,130728,河北省,张家口市
172,万全县,130729,河北省,张家口市
173,怀来县,130730,河北省,张家口市
174,涿鹿县,130731,河北省,张家口市
175,赤城县,130732,河北省,张家口市
176,崇礼县,130733,河北省,张家口市
177,承德市,130800,河北省,承德市
178,市辖区,130801,河北省,承德市
179,双桥区,130802,河北省,承德市
180,双滦区,130803,河北省,承德市
181,鹰手营子矿区,130804,河北省,承德市
182,承德县,130821,河北省,承德市
183,兴隆县,130822,河北省,承德市
184,平泉县,130823,河北省,承德市
185,滦平县,130824,河北省,承德市
186,隆化县,130825,河北省,承德市
187,丰宁满族自治县,130826,河北省,承德市
188,宽城满族自治县,130827,河北省,承德市
189,围场满族蒙古族自治县,130828,河北省,承德市
190,沧州市,130900,河北省,沧州市
191,市辖区,130901,河北省,沧州市
192,新华区,130902,河北省,沧州市
193,运河区,130903,河北省,沧州市
194,沧县,130921,河北省,沧州市
195,青县,130922,河北省,沧州市
196,东光县,130923,河北省,沧州市
197,海兴县,130924,河北省,沧州市
198,盐山县,130925,河北省,沧州市
199,肃宁县,130926,河北省,沧州市
200,南皮县,130927,河北省,沧州市
201,吴桥县,130928,河北省,沧州市
202,献县,130929,河北省,沧州市
203,孟村回族自治县,130930,河北省,沧州市
204,泊头市,130981,河北省,沧州市
205,任丘市,130982,河北省,沧州市
206,黄骅市,130983,河北省,沧州市
207,河间市,130984,河北省,沧州市
208,廊坊市,131000,河北省,廊坊市
209,市辖区,131001,河北省,廊坊市
210,安次区,131002,河北省,廊坊市
211,广阳区,131003,河北省,廊坊市
212,固安县,131022,河北省,廊坊市
213,永清县,131023,河北省,廊坊市
214,香河县,131024,河北省,廊坊市
215,大城县,131025,河北省,廊坊市
216,文安县,131026,河北省,廊坊市
217,大厂回族自治县,131028,河北省,廊坊市
218,霸州市,131081,河北省,廊坊市
219,三河市,131082,河北省,廊坊市
220,衡水市,131100,河北省,衡水市
221,市辖区,131101,河北省,衡水市
222,桃城区,131102,河北省,衡水市
223,枣强县,131121,河北省,衡水市
224,武邑县,131122,河北省,衡水市
225,武强县,131123,河北省,衡水市
226,饶阳县,131124,河北省,衡水市
227,安平县,131125,河北省,衡水市
228,故城县,131126,河北省,衡水市
229,景县,131127,河北省,衡水市
230,阜城县,131128,河北省,衡水市
231,冀州市,131181,河北省,衡水市
232,深州市,131182,河北省,衡水市
233,山西省,140000,山西省,山西省
234,太原市,140100,山西省,太原市
235,市辖区,140101,山西省,太原市
236,小店区,140105,山西省,太原市
237,迎泽区,140106,山西省,太原市
238,杏花岭区,140107,山西省,太原市
239,尖草坪区,140108,山西省,太原市
240,万柏林区,140109,山西省,太原市
241,晋源区,140110,山西省,太原市
242,清徐县,140121,山西省,太原市
243,阳曲县,140122,山西省,太原市
244,娄烦县,140123,山西省,太原市
245,古交市,140181,山西省,太原市
246,大同市,140200,山西省,大同市
247,市辖区,140201,山西省,大同市
248,城区,140202,山西省,大同市
249,矿区,140203,山西省,大同市
250,南郊区,140211,山西省,大同市
251,新荣区,140212,山西省,大同市
252,阳高县,140221,山西省,大同市
253,天镇县,140222,山西省,大同市
254,广灵县,140223,山西省,大同市
255,灵丘县,140224,山西省,大同市
256,浑源县,140225,山西省,大同市
257,左云县,140226,山西省,大同市
258,大同县,140227,山西省,大同市
259,阳泉市,140300,山西省,阳泉市
260,市辖区,140301,山西省,阳泉市
261,城区,140302,山西省,阳泉市
262,矿区,140303,山西省,阳泉市
263,郊区,140311,山西省,阳泉市
264,平定县,140321,山西省,阳泉市
265,盂县,140322,山西省,阳泉市
266,长治市,140400,山西省,长治市
267,市辖区,140401,山西省,长治市
268,城区,140402,山西省,长治市
269,郊区,140411,山西省,长治市
270,长治县,140421,山西省,长治市
271,襄垣县,140423,山西省,长治市
272,屯留县,140424,山西省,长治市
273,平顺县,140425,山西省,长治市
274,黎城县,140426,山西省,长治市
275,壶关县,140427,山西省,长治市
276,长子县,140428,山西省,长治市
277,武乡县,140429,山西省,长治市
278,沁县,140430,山西省,长治市
279,沁源县,140431,山西省,长治市
280,潞城市,140481,山西省,长治市
281,晋城市,140500,山西省,晋城市
282,市辖区,140501,山西省,晋城市
283,城区,140502,山西省,晋城市
284,沁水县,140521,山西省,晋城市
285,阳城县,140522,山西省,晋城市
286,陵川县,140524,山西省,晋城市
287,泽州县,140525,山西省,晋城市
288,高平市,140581,山西省,晋城市
289,朔州市,140600,山西省,朔州市
290,市辖区,140601,山西省,朔州市
291,朔城区,140602,山西省,朔州市
292,平鲁区,140603,山西省,朔州市
293,山阴县,140621,山西省,朔州市
294,应县,140622,山西省,朔州市
295,右玉县,140623,山西省,朔州市
296,怀仁县,140624,山西省,朔州市
297,晋中市,140700,山西省,晋中市
298,市辖区,140701,山西省,晋中市
299,榆次区,140702,山西省,晋中市
300,榆社县,140721,山西省,晋中市
301,左权县,140722,山西省,晋中市
302,和顺县,140723,山西省,晋中市
303,昔阳县,140724,山西省,晋中市
304,寿阳县,140725,山西省,晋中市
305,太谷县,140726,山西省,晋中市
306,祁县,140727,山西省,晋中市
307,平遥县,140728,山西省,晋中市
308,灵石县,140729,山西省,晋中市
309,介休市,140781,山西省,晋中市
310,运城市,140800,山西省,运城市
311,市辖区,140801,山西省,运城市
312,盐湖区,140802,山西省,运城市
313,临猗县,140821,山西省,运城市
314,万荣县,140822,山西省,运城市
315,闻喜县,140823,山西省,运城市
316,稷山县,140824,山西省,运城市
317,新绛县,140825,山西省,运城市
318,绛县,140826,山西省,运城市
319,垣曲县,140827,山西省,运城市
320,夏县,140828,山西省,运城市
321,平陆县,140829,山西省,运城市
322,芮城县,140830,山西省,运城市
323,永济市,140881,山西省,运城市
324,河津市,140882,山西省,运城市
325,忻州市,140900,山西省,忻州市
326,市辖区,140901,山西省,忻州市
327,忻府区,140902,山西省,忻州市
328,定襄县,140921,山西省,忻州市
329,五台县,140922,山西省,忻州市
330,代县,140923,山西省,忻州市
331,繁峙县,140924,山西省,忻州市
332,宁武县,140925,山西省,忻州市
333,静乐县,140926,山西省,忻州市
334,神池县,140927,山西省,忻州市
335,五寨县,140928,山西省,忻州市
336,岢岚县,140929,山西省,忻州市
337,河曲县,140930,山西省,忻州市
338,保德县,140931,山西省,忻州市
339,偏关县,140932,山西省,忻州市
340,原平市,140981,山西省,忻州市
341,临汾市,141000,山西省,临汾市
342,市辖区,141001,山西省,临汾市
343,尧都区,141002,山西省,临汾市
344,曲沃县,141021,山西省,临汾市
345,翼城县,141022,山西省,临汾市
346,襄汾县,141023,山西省,临汾市
347,洪洞县,141024,山西省,临汾市
348,古县,141025,山西省,临汾市
349,安泽县,141026,山西省,临汾市
350,浮山县,141027,山西省,临汾市
351,吉县,141028,山西省,临汾市
352,乡宁县,141029,山西省,临汾市
353,大宁县,141030,山西省,临汾市
354,隰县,141031,山西省,临汾市
355,永和县,141032,山西省,临汾市
356,蒲县,141033,山西省,临汾市
357,汾西县,141034,山西省,临汾市
358,侯马市,141081,山西省,临汾市
359,霍州市,141082,山西省,临汾市
360,吕梁市,141100,山西省,吕梁市
361,市辖区,141101,山西省,吕梁市
362,离石区,141102,山西省,吕梁市
363,文水县,141121,山西省,吕梁市
364,交城县,141122,山西省,吕梁市
365,兴县,141123,山西省,吕梁市
366,临县,141124,山西省,吕梁市
367,柳林县,141125,山西省,吕梁市
368,石楼县,141126,山西省,吕梁市
369,岚县,141127,山西省,吕梁市
370,方山县,141128,山西省,吕梁市
371,中阳县,141129,山西省,吕梁市
372,交口县,141130,山西省,吕梁市
373,孝义市,141181,山西省,吕梁市
374,汾阳市,141182,山西省,吕梁市
375,内蒙古自治区,150000,内蒙古自治区,内蒙古自治区
376,呼和浩特市,150100,内蒙古自治区,呼和浩特市
377,市辖区,150101,内蒙古自治区,呼和浩特市
378,新城区,150102,内蒙古自治区,呼和浩特市
379,回民区,150103,内蒙古自治区,呼和浩特市
380,玉泉区,150104,内蒙古自治区,呼和浩特市
381,赛罕区,150105,内蒙古自治区,呼和浩特市
382,土默特左旗,150121,内蒙古自治区,呼和浩特市
383,托克托县,150122,内蒙古自治区,呼和浩特市
384,和林格尔县,150123,内蒙古自治区,呼和浩特市
385,清水河县,150124,内蒙古自治区,呼和浩特市
386,武川县,150125,内蒙古自治区,呼和浩特市
387,包头市,150200,内蒙古自治区,包头市
388,市辖区,150201,内蒙古自治区,包头市
389,东河区,150202,内蒙古自治区,包头市
390,昆都仑区,150203,内蒙古自治区,包头市
391,青山区,150204,内蒙古自治区,包头市
392,石拐区,150205,内蒙古自治区,包头市
393,白云鄂博矿区,150206,内蒙古自治区,包头市
394,九原区,150207,内蒙古自治区,包头市
395,土默特右旗,150221,内蒙古自治区,包头市
396,固阳县,150222,内蒙古自治区,包头市
397,达尔罕茂明安联合旗,150223,内蒙古自治区,包头市
398,乌海市,150300,内蒙古自治区,乌海市
399,市辖区,150301,内蒙古自治区,乌海市
400,海勃湾区,150302,内蒙古自治区,乌海市
401,海南区,150303,内蒙古自治区,乌海市
402,乌达区,150304,内蒙古自治区,乌海市
403,赤峰市,150400,内蒙古自治区,赤峰市
404,市辖区,150401,内蒙古自治区,赤峰市
405,红山区,150402,内蒙古自治区,赤峰市
406,元宝山区,150403,内蒙古自治区,赤峰市
407,松山区,150404,内蒙古自治区,赤峰市
408,阿鲁科尔沁旗,150421,内蒙古自治区,赤峰市
409,巴林左旗,150422,内蒙古自治区,赤峰市
410,巴林右旗,150423,内蒙古自治区,赤峰市
411,林西县,150424,内蒙古自治区,赤峰市
412,克什克腾旗,150425,内蒙古自治区,赤峰市
413,翁牛特旗,150426,内蒙古自治区,赤峰市
414,喀喇沁旗,150428,内蒙古自治区,赤峰市
415,宁城县,150429,内蒙古自治区,赤峰市
416,敖汉旗,150430,内蒙古自治区,赤峰市
417,通辽市,150500,内蒙古自治区,通辽市
418,市辖区,150501,内蒙古自治区,通辽市
419,科尔沁区,150502,内蒙古自治区,通辽市
420,科尔沁左翼中旗,150521,内蒙古自治区,通辽市
421,科尔沁左翼后旗,150522,内蒙古自治区,通辽市
422,开鲁县,150523,内蒙古自治区,通辽市
423,库伦旗,150524,内蒙古自治区,通辽市
424,奈曼旗,150525,内蒙古自治区,通辽市
425,扎鲁特旗,150526,内蒙古自治区,通辽市
426,霍林郭勒市,150581,内蒙古自治区,通辽市
427,鄂尔多斯市,150600,内蒙古自治区,鄂尔多斯市
428,市辖区,150601,内蒙古自治区,鄂尔多斯市
429,东胜区,150602,内蒙古自治区,鄂尔多斯市
430,达拉特旗,150621,内蒙古自治区,鄂尔多斯市
431,准格尔旗,150622,内蒙古自治区,鄂尔多斯市
432,鄂托克前旗,150623,内蒙古自治区,鄂尔多斯市
433,鄂托克旗,150624,内蒙古自治区,鄂尔多斯市
434,杭锦旗,150625,内蒙古自治区,鄂尔多斯市
435,乌审旗,150626,内蒙古自治区,鄂尔多斯市
436,伊金霍洛旗,150627,内蒙古自治区,鄂尔多斯市
437,呼伦贝尔市,150700,内蒙古自治区,呼伦贝尔市
438,市辖区,150701,内蒙古自治区,呼伦贝尔市
439,海拉尔区,150702,内蒙古自治区,呼伦贝尔市
440,阿荣旗,150721,内蒙古自治区,呼伦贝尔市
441,莫力达瓦达斡尔族自治旗,150722,内蒙古自治区,呼伦贝尔市
442,鄂伦春自治旗,150723,内蒙古自治区,呼伦贝尔市
443,鄂温克族自治旗,150724,内蒙古自治区,呼伦贝尔市
444,陈巴尔虎旗,150725,内蒙古自治区,呼伦贝尔市
445,新巴尔虎左旗,150726,内蒙古自治区,呼伦贝尔市
446,新巴尔虎右旗,150727,内蒙古自治区,呼伦贝尔市
447,满洲里市,150781,内蒙古自治区,呼伦贝尔市
448,牙克石市,150782,内蒙古自治区,呼伦贝尔市
449,扎兰屯市,150783,内蒙古自治区,呼伦贝尔市
450,额尔古纳市,150784,内蒙古自治区,呼伦贝尔市
451,根河市,150785,内蒙古自治区,呼伦贝尔市
452,巴彦淖尔市,150800,内蒙古自治区,巴彦淖尔市
453,市辖区,150801,内蒙古自治区,巴彦淖尔市
454,临河区,150802,内蒙古自治区,巴彦淖尔市
455,五原县,150821,内蒙古自治区,巴彦淖尔市
456,磴口县,150822,内蒙古自治区,巴彦淖尔市
457,乌拉特前旗,150823,内蒙古自治区,巴彦淖尔市
458,乌拉特中旗,150824,内蒙古自治区,巴彦淖尔市
459,乌拉特后旗,150825,内蒙古自治区,巴彦淖尔市
460,杭锦后旗,150826,内蒙古自治区,巴彦淖尔市
461,乌兰察布市,150900,内蒙古自治区,乌兰察布市
462,市辖区,150901,内蒙古自治区,乌兰察布市
463,集宁区,150902,内蒙古自治区,乌兰察布市
464,卓资县,150921,内蒙古自治区,乌兰察布市
465,化德县,150922,内蒙古自治区,乌兰察布市
466,商都县,150923,内蒙古自治区,乌兰察布市
467,兴和县,150924,内蒙古自治区,乌兰察布市
468,凉城县,150925,内蒙古自治区,乌兰察布市
469,察哈尔右翼前旗,150926,内蒙古自治区,乌兰察布市
470,察哈尔右翼中旗,150927,内蒙古自治区,乌兰察布市
471,察哈尔右翼后旗,150928,内蒙古自治区,乌兰察布市
472,四子王旗,150929,内蒙古自治区,乌兰察布市
473,丰镇市,150981,内蒙古自治区,乌兰察布市
474,兴安盟,152200,内蒙古自治区,兴安盟
475,乌兰浩特市,152201,内蒙古自治区,兴安盟
476,阿尔山市,152202,内蒙古自治区,兴安盟
477,科尔沁右翼前旗,152221,内蒙古自治区,兴安盟
478,科尔沁右翼中旗,152222,内蒙古自治区,兴安盟
479,扎赉特旗,152223,内蒙古自治区,兴安盟
480,突泉县,152224,内蒙古自治区,兴安盟
481,锡林郭勒盟,152500,内蒙古自治区,锡林郭勒盟
482,二连浩特市,152501,内蒙古自治区,锡林郭勒盟
483,锡林浩特市,152502,内蒙古自治区,锡林郭勒盟
484,阿巴嘎旗,152522,内蒙古自治区,锡林郭勒盟
485,苏尼特左旗,152523,内蒙古自治区,锡林郭勒盟
486,苏尼特右旗,152524,内蒙古自治区,锡林郭勒盟
487,东乌珠穆沁旗,152525,内蒙古自治区,锡林郭勒盟
488,西乌珠穆沁旗,152526,内蒙古自治区,锡林郭勒盟
489,太仆寺旗,152527,内蒙古自治区,锡林郭勒盟
490,镶黄旗,152528,内蒙古自治区,锡林郭勒盟
491,正镶白旗,152529,内蒙古自治区,锡林郭勒盟
492,正蓝旗,152530,内蒙古自治区,锡林郭勒盟
493,多伦县,152531,内蒙古自治区,锡林郭勒盟
494,阿拉善盟,152900,内蒙古自治区,阿拉善盟
495,阿拉善左旗,152921,内蒙古自治区,阿拉善盟
496,阿拉善右旗,152922,内蒙古自治区,阿拉善盟
497,额济纳旗,152923,内蒙古自治区,阿拉善盟
498,辽宁省,210000,辽宁省,辽宁省
499,沈阳市,210100,辽宁省,沈阳市
500,市辖区,210101,辽宁省,沈阳市
501,和平区,210102,辽宁省,沈阳市
502,沈河区,210103,辽宁省,沈阳市
503,大东区,210104,辽宁省,沈阳市
504,皇姑区,210105,辽宁省,沈阳市
505,铁西区,210106,辽宁省,沈阳市
506,苏家屯区,210111,辽宁省,沈阳市
507,东陵区,210112,辽宁省,沈阳市
508,沈北新区,210113,辽宁省,沈阳市
509,于洪区,210114,辽宁省,沈阳市
510,辽中县,210122,辽宁省,沈阳市
511,康平县,210123,辽宁省,沈阳市
512,法库县,210124,辽宁省,沈阳市
513,新民市,210181,辽宁省,沈阳市
514,大连市,210200,辽宁省,大连市
515,市辖区,210201,辽宁省,大连市
516,中山区,210202,辽宁省,大连市
517,西岗区,210203,辽宁省,大连市
518,沙河口区,210204,辽宁省,大连市
519,甘井子区,210211,辽宁省,大连市
520,旅顺口区,210212,辽宁省,大连市
521,金州区,210213,辽宁省,大连市
522,长海县,210224,辽宁省,大连市
523,瓦房店市,210281,辽宁省,大连市
524,普兰店市,210282,辽宁省,大连市
525,庄河市,210283,辽宁省,大连市
526,鞍山市,210300,辽宁省,鞍山市
527,市辖区,210301,辽宁省,鞍山市
528,铁东区,210302,辽宁省,鞍山市
529,铁西区,210303,辽宁省,鞍山市
530,立山区,210304,辽宁省,鞍山市
531,千山区,210311,辽宁省,鞍山市
532,台安县,210321,辽宁省,鞍山市
533,岫岩满族自治县,210323,辽宁省,鞍山市
534,海城市,210381,辽宁省,鞍山市
535,抚顺市,210400,辽宁省,抚顺市
536,市辖区,210401,辽宁省,抚顺市
537,新抚区,210402,辽宁省,抚顺市
538,东洲区,210403,辽宁省,抚顺市
539,望花区,210404,辽宁省,抚顺市
540,顺城区,210411,辽宁省,抚顺市
541,抚顺县,210421,辽宁省,抚顺市
542,新宾满族自治县,210422,辽宁省,抚顺市
543,清原满族自治县,210423,辽宁省,抚顺市
544,本溪市,210500,辽宁省,本溪市
545,市辖区,210501,辽宁省,本溪市
546,平山区,210502,辽宁省,本溪市
547,溪湖区,210503,辽宁省,本溪市
548,明山区,210504,辽宁省,本溪市
549,南芬区,210505,辽宁省,本溪市
550,本溪满族自治县,210521,辽宁省,本溪市
551,桓仁满族自治县,210522,辽宁省,本溪市
552,丹东市,210600,辽宁省,丹东市
553,市辖区,210601,辽宁省,丹东市
554,元宝区,210602,辽宁省,丹东市
555,振兴区,210603,辽宁省,丹东市
556,振安区,210604,辽宁省,丹东市
557,宽甸满族自治县,210624,辽宁省,丹东市
558,东港市,210681,辽宁省,丹东市
559,凤城市,210682,辽宁省,丹东市
560,锦州市,210700,辽宁省,锦州市
561,市辖区,210701,辽宁省,锦州市
562,古塔区,210702,辽宁省,锦州市
563,凌河区,210703,辽宁省,锦州市
564,太和区,210711,辽宁省,锦州市
565,黑山县,210726,辽宁省,锦州市
566,义县,210727,辽宁省,锦州市
567,凌海市,210781,辽宁省,锦州市
568,北镇市,210782,辽宁省,锦州市
569,营口市,210800,辽宁省,营口市
570,市辖区,210801,辽宁省,营口市
571,站前区,210802,辽宁省,营口市
572,西市区,210803,辽宁省,营口市
573,鲅鱼圈区,210804,辽宁省,营口市
574,老边区,210811,辽宁省,营口市
575,盖州市,210881,辽宁省,营口市
576,大石桥市,210882,辽宁省,营口市
577,阜新市,210900,辽宁省,阜新市
578,市辖区,210901,辽宁省,阜新市
579,海州区,210902,辽宁省,阜新市
580,新邱区,210903,辽宁省,阜新市
581,太平区,210904,辽宁省,阜新市
582,清河门区,210905,辽宁省,阜新市
583,细河区,210911,辽宁省,阜新市
584,阜新蒙古族自治县,210921,辽宁省,阜新市
585,彰武县,210922,辽宁省,阜新市
586,辽阳市,211000,辽宁省,辽阳市
587,市辖区,211001,辽宁省,辽阳市
588,白塔区,211002,辽宁省,辽阳市
589,文圣区,211003,辽宁省,辽阳市
590,宏伟区,211004,辽宁省,辽阳市
591,弓长岭区,211005,辽宁省,辽阳市
592,太子河区,211011,辽宁省,辽阳市
593,辽阳县,211021,辽宁省,辽阳市
594,灯塔市,211081,辽宁省,辽阳市
595,盘锦市,211100,辽宁省,盘锦市
596,市辖区,211101,辽宁省,盘锦市
597,双台子区,211102,辽宁省,盘锦市
598,兴隆台区,211103,辽宁省,盘锦市
599,大洼县,211121,辽宁省,盘锦市
600,盘山县,211122,辽宁省,盘锦市
601,铁岭市,211200,辽宁省,铁岭市
602,市辖区,211201,辽宁省,铁岭市
603,银州区,211202,辽宁省,铁岭市
604,清河区,211204,辽宁省,铁岭市
605,铁岭县,211221,辽宁省,铁岭市
606,西丰县,211223,辽宁省,铁岭市
607,昌图县,211224,辽宁省,铁岭市
608,调兵山市,211281,辽宁省,铁岭市
609,开原市,211282,辽宁省,铁岭市
610,朝阳市,211300,辽宁省,朝阳市
611,市辖区,211301,辽宁省,朝阳市
612,双塔区,211302,辽宁省,朝阳市
613,龙城区,211303,辽宁省,朝阳市
